SkillConfigID;Name
77BA57BC;Punch
CDEB5E25;Power Punch
5BDB5952;Practiced Punch
6E7E3ABB;One-Two Punch
D42F3322;Meteor Punch
421F3455;Kick
D3028B45;Flip Kick
45328CB2;Nasty Kick
A0BB4B52;Slap
368B4CA5;Smack Down
1AEA424B;Pesky Poke
B97F2655;Pointy Pokes
2F4F21A2;Stab Storm
951E283B;Bite
032E2F4C;Chomp
9233905C;Maul
040397AB;Squish
63E86609;Flatten
F5D8618E;Steamroll
4F896817;Headsmack
D9B96F60;Headbutt
7A2C0B02;Earthsplitter
EC1C0C89;Body Bash
564D0510;Tackle
C07D0267;Bone Crusher
C750BA80;Tail Slap
22D97D20;Batter
0EB8730E;Pinpoint Pierce
98887479;Ventilator
AD2D1790;Fullswing
177C1E09;Headbuster
814C197E;Shoot
1051A62E;Guns Blazing
737F3B58;Sharp Claws
5F1E3536;Stepping Slice
FC8B51A8;Double Slice
6ABB565F;Lightning Slash
D0EA5F46;Hit
46DA5831;Beat
D7C7E7A1;Clobber
41F7E056;Ninja Star
A47E27B6;Rocket Punch
324E2041;Palm Strike
881F2958;Spraygun
1E2F2E2F;Bowshot
BDBA4AB1;Kaboom!
2B8A4D46;Slurp
91DB445F;Slice
07EB4328;Throw
96F6FCB8;Throw
00C6FB4F;Card Throw
672D0A9D;Shot
F11D0D2A;Shot
4B4C0473;Shot
DD7C0304;Shot
7EE9679A;Throw
E8D9602D;Shoot
52886974;Shot
0C894E63;Unnamed
84EDEC73;Pesky Poke
F779F97F;Fire
4D28F026;Blaze
DB18F791;Incinerate
788D930F;Torrent
EEBD9478;Rapids
54EC9D21;Waterfall
C2DC9A96;Shock
53C12506;Lightning
C5F12271;Voltage
2078E511;Pebble
B648E266;Rockslide
0C192B;Meteor
9A29EC88;Hail
39BC8816;Frost
AF8C8F61;Blizzard
15DD8608;Whirlwind
83ED818F;Tornado
12F03E1F;Storm
84C03968;Absorb
E32BC83A;Drain
751BCF4D;Reaper
CF4AC654;Heal
597AC1A3;Restore
FAEFA53D;Paradise
A3FD5351;Careless
4D52E643;Defenseless
0C63FD5A;Gutsiness
28355A0B;Full of Sighs
910D8D66;Full of Sighs
D03C967F;Demotivator
F46A315E;Mochi Power
B55B2A47;Jealousy
1AC5844C;Aimless
7FA23874;Laziness
3E93236D;Laziness
29B25B2C;Bad Bet
4CD5E794;Fine Weapon
76B38F54;Cursed Sword
0DE4FC8D;Holy Sword
13D4336C;Helmet Defense
FD7B867E;Knight's Curse
BC4A9D67;Stygian Curse
981C3A46;Emblaze
D92D215F;Lion's Pride
1A7E0C14;Heart's Roar
2124ED5B;Stag Power
44435123;Fighter Power
05724A0A;Legend Power
AAECE411;Clumsiness
EBDDFF28;Cyborg Strength
CF8B5849;Berserk
8EBA4350;Frighten
999B3B11;Runny Nose
D8AA2008;Catch Cold
FCFC87A9;Expose Weakness
BDCD9CB0;Mysterious Power
A6C92F93;Memory Eater
E7F8348A;Playfulness
C3AE932B;Side Splitter
829F8832;Shivers
2D012639;Samurai Spirit
6C303D20;Kabuki Fun
48669A81;Popularize
F15E4D1C;Popularize
B06F5605;Unpopularize
9439F1A4;Disclose
7A9644B6;Disclose
D508EABD;Face Paint
1FF1F80E;Bedtime
5EC0E317;Sweet Dreams
49E19B56;Paralyze
2C86272E;Paralyze
6DB73C17;Electrocute
16E04FAE;Mirror Power
57D154B7;Cursed Mirror
7387F316;Illusion Power
32B6E80F;Haze Power
F1E5C524;Wanderlust
9D284604;Numbify
F84FFABC;Numbify
B97EE1A5;Curse of Darkness
41772D21;Burn
00463638;Divine Protection
C3151B13;Dark Descent
24109199;Dullness
CABF248B;Machismo
8B8E3F92;Musclehead
AFD89833;Sore Throat
EEE9832A;Headache
F9C8FB6B;Maniac Makeover
9CAF4753;So Generous
DD9E5C4A;So Generous
063C6F1C;Refusal
635BD3A4;Refusal
226AC8BD;Castle Power
8DF466B6;Inflated Impediment
CCC57DAF;Big Needle Poke
E893DA0E;Armor Defense
51AB0D93;Perseverance
109A168A;Volcanic Blessing
34CCB12B;Rhino Power
DA630439;Peerless Power
9B521F20;Legend Power
FE35A398;Bronze Power
3D668EB3;Silver Power
BF04B881;Gold Power
7C5795AA;Platinum Power
E914DB59;Earth Healing
A825C040;Ocean Power
8C736761;Cicada Ninjutsu
B6150F21;Cicada Ninjutsu
F7241438;Radical Ninjutsu
D372B399;Depression
9243A880;Awkwardness
511085AB;Despair
3DDD068B;Slow Down
B2E6D784;Slow Down S
58BABA33;Needle Poke
E1826DAE;Delinquency
84E5D116;Steel Power
C5D4CA0F;Golden Power
6A4A6404;Diamond Power
2B7B7F1D;Sapphire Power
E8285236;Emerald Power
A919492F;Ruby Power
6E8F0860;Topaz Power
0F2DD8BC;Nap Time
593DBB24;Torrent Power
180CA005;Surf Power
3C5A075C;Burn
666FAF66;Burn
7D6B1C45;Tiger Power
B361D653;Burn S
F250CD4A;Tiger Power S
E40D9954;Tiger Power
0308135E;Generous Heart
42390847;Faltering Heart
EDA7A64C;Chills
88C01A74;Freeze
C9F1016D;Blazing Heart
31F8CD29;Fidgeting
70C9D610;Shaking
549F7151;Luck's Smile
15AE6A48;Lucky Streak
BA30C443;Tengu Tailwind
FB01DF5A;Burn
DF57780B;Starve
89471BA3;Starve
9E666322;Rice's Kindness
EC20A71B;Confusion
D646CF5B;Confusion
9777D442;Styx's Curse
B3217323;Liven Up
F210680A;Power of Song
31434551;Serpent's Power
5D8EC611;Energize
1CBFDD28;Enemy Maker
38E97A49;Feeling Fine
79D86150;Life Is Good
81D1AD54;Healthy Wakame
C0E0B64D;Kombu Energy
03B39B26;Slippery Mekabu
E4B6116C;Skip a Beat
0A19A47E;Skip a Beat
4B28BF67;Trickery
6F7E1846;Cheerfulness
396E7B9E;Insecurity
785F6087;Insecurity
5C09C726;So Generous
1D38DC3F;So Generous
07D19F59;Mama's Warmth
46E08440;Auntie's Love
62B62361;Dad's Support
23873878;Uncle's Shout
8C199673;Shoulder Pain
E97E2A4B;Shoulder Pain
A84F3152;Back Pain
5046FD56;Negativize
3521412E;Negativize
74105A17;Itchy
DB8EF404;Guide
9ABFEF25;Bias
BEE94844;Snatch
FFD8535D;Funky Dance
E8F92B1C;All Talk
A9C83005;Complaints
359AC956;Blood Boil
8D9E97A4;Rebel Soul
B7F8FF24;Rebel Soul
D29F435C;Negasus Waves
93AE5845;Neighing Curse
3C30F64E;Wrinkles
59574A16;Youth Drain
1866512F;Immortal Power
E06F9D6B;Stink Up
A15E8672;Stink Up
85082153;Fall Flat
C4393A4A;Fall Flat
6BA79441;Sleeplessness
2A968F58;Bedtime
0EC02879;Fade Away
58D04B21;Fade Away
19E15038;Fade Away
3DB7F799;Pruned
68E87B6F;Pruned
7C86EC80;Numbify
29D96076;Frozen Solid
BFD5C1AB;Nosebleed
0D8FC757;Overcast
E3207245;Envy
A211695C;Gluttony
8647CE7D;Shut Away
3F7F1920;Shut Away
7E4E0209;Shut Away
1B29BE41;Optimism
5A18A558;Poverty
F5860B53;Stygian Curse
B4B7104A;Pessimism
D1D0AC12;Distrust
90E1B72B;Bratty
53B29A40;Contrariness
87C0CFAA;Frighten
E2A77312;Frighten
A396680B;Cavity
D8C11B52;Stinginess
99F0004B;Darkness Power
BDA6A72A;Fortunate
53091208;Fortunate
FC97BC13;Panda Cuteness
366EAE40;Dragon Power
8F56795D;Dragon Power
CE676244;Cobalt Power
EA31C565;Spiteful Suggestion
049E7077;Harbor Resentment
45AF6B6E;Frenzy
61F9CC4F;Loitering
20C8D756;Amateur
76D8B48E;So Generous
37E9AF97;Wastefulness
528E132F;Keep Chatting
13BF0836;Banana Power
08BBBB15;Bossiness
498AA00C;Pit Viper Venom
8AD98D27;Sulky
6DDC07AD;Venoct's Blessing
2CED1CB4;Enshroud
EFBE319F;Light of Life
8373B2BF;Heart of a Warrior
E6140E07;Burly Power
5F2CD99A;Healing Air
3A4B6522;Miracle Blossom
D4E4D030;Power of Terror
1181DE55;Unnamed
4616BC5A;Unnamed
9BCED628;Unnamed
FEA96A90;Unnamed
4F070B7A;Unnamed
2A60B742;Unnamed
9358605F;Unnamed
7DF7D54D;Unnamed
4E800AAD;Unnamed
14B5A297;Unnamed
9F7DAB3D;Unnamed
FA1A1785;Unnamed
26457CA0;Unnamed
C1FB7E12;Unnamed
2F54CB;Unnamed
4BB4766F;Unnamed
86B03C2F;Unnamed
0D783585;Unnamed
3E0FEA65;Unnamed
610E3E9D;Unnamed
8FA18B8F;Unnamed
BD5155B8;Unnamed
EB413620;Unnamed
8E268A58;Unnamed
D4132262;Unnamed
B1749E5A;Unnamed
3ABC9770;Unnamed
084C4947;Unnamed
6D2B15;Unnamed
5E5C2A1F;Unnamed
015DFE27;Unnamed
EFF24B15;Unnamed
33AD2050;Unnamed
56CA9C68;Unnamed
EE754A22;Unnamed
D0CAAE65;Unnamed
E23A7052;Unnamed
3FE21AA0;Unnamed
60E3CE58;Unnamed
8E4C7B4A;Unnamed
EB2BC712;Unnamed
3774AC57;Unnamed
D9DB1945;Unnamed
E864285C;Unnamed
06CB9D4E;Unnamed
35BC42AE;Unnamed
6ABD9656;Unnamed
0FDA2A2E;Unnamed
84122344;Unnamed
D385414B;Unnamed
85952293;Unnamed
BAC73611;Unnamed
DDF56790;Lionize
